Group,Longitude,Latitude
absence,60279.44666,2053121.594
absence,92986.55686,1998643.207
absence,88934.8978,2103485.958
absence,58953.85379,1973671.789
absence,85009.77562,2014552.648
absence,105857.8917,2024655.33
absence,75071.70499,2054767.015
absence,91551.1562,2023430.467
absence,16135.91285,2102534.655
absence,66523.00964,2100210.598
absence,92666.62188,2065129.221
absence,24934.77702,2025991.127
absence,68348.51753,1960370.162
absence,35062.37191,2075300.158
absence,89655.08045,2086489.265
absence,92330.09026,2076671.306
absence,86650.60147,1959682.753
absence,22402.90312,2045858.203
absence,99429.10434,1968496.996
absence,66106.52274,2013301.418
